word,Charlie Puth,word,Shawn Mendes
outside,0,lifeline,0
ordinary,0,lighted,0
opposite,0,one-way,0
negative,0,million,0
muse,0,opened,0
mutual,0,mmh,0
nah,0,ooh-ooh-ooh-ooh-ooh,0
naked,0,ooh-ooh-ooh,0
names,0,ooh-ooh-oh,0
near,0,ooh-ooh,0
needing,0,ooh-oh,0
needle,0,mmm-mmm,0
net,0,modeling,0
ones,0,models,0
nice,0,messing,0
noses,0,molly,0
notes,0,money,0
nothin,0,mother,0
nowadays,0,mount,0
number,0,mountain,0
ocean,0,nyc,0
one-on-one,0,nowhere,0
plan,0,notice,0
plans,0,neither,0
playin,0,nicky,0
recognize,0,overdosed,0
quite,0,messin,0
race,0,likes,0
rainbows,0,lord,0
raise,0,limelight,0
realize,0,limousine,0
reap,0,planned,0
reassure,0,plane,0
reciprocate,0,list,0
reel,0,lived,0
questions,0,pile,0
regretted,0,lock,0
remind,0,looked,0
replace,0,photographs,0
reputation,0,permission,0
resist,0,masterpiece,0
rest,0,perfume,0
rings,0,lovin,0
ripping,0,luck,0
quickly,0,pay,0
questioning,0,patient,0
plays,0,magic,0
prison,0,marvin,0
poison,0,parted,0
possibly,0,mask,0
pray,0,paris,0
praying,0,huh,0
prepared,0,hosting,0
pressure,0,repost,0
pretending,0,figured,0
pretty,0,facing,0
probably,0,fading,0
pushed,0,faith,0
promises,0,fake,0
propose,0,family,0
pull,0,famous,0
pulled,0,smoking,0
pulling,0,niggas,0
punched,0,faster,0
puppet,0,father,0
push,0,ski,0
movies,0,faces,0
mouth,0,size,0
heartbreak,0,flash,0
motions,0,sisters,0
impressed,0,sipping,0
inch,0,followed,0
inconsistency,0,followers,0
inhibitions,0,foolish,0
innocent,0,forgetting,0
instead,0,signs,0
instrumental,0,forgiveness,0
intentions,0,somewhere,0
interested,0,express,0
intertwined,0,front,0
japan,0,dry,0
joke,0,streets,0
kanye,0,dirt,0
keeping,0,stray,0
kicked,0,stopping,0
kid,0,dm,0
kids,0,dog,0
kill,0,doin,0
killing,0,step,0
imagination,0,dress,0
ignore,0,star,0
idea,0,spine,0
hopeless,0,explosion,0
heavy,0,east,0
hesitation,0,either,0
hi,0,electrified,0
higher,0,spell,0
history,0,speed,0
hmm,0,emotions,0
hole,0,encore,0
honest,0,ends,0
hopes,0,excuses,0
i-i-i,0,explain,0
hopin,0,shy,0
hoping,0,fuck,0
hotel,0,respect,0
hours,0,ruined,0
house,0,happened,0
hurricane,0,harder,0
hurts,0,save,0
hypnotized,0,healing,0
kills,0,hearted,0
kils,0,rush,0
kinda,0,heat,0
meet,0,heather,0
lured,0,run,0
mad,0,rumors,0
manipulate,0,round,0
may,0,scream,0
means,0,rough,0
meant,0,highlights,0
medal,0,road,0
medicine,0,rivers,0
memory,0,river,0
lower,0,hitting,0
men,0,ho,0
mess,0,holdin,0
mhm,0,riding,0
middle,0,rhythm,0
minds,0,hang,0
minutes,0,screaming,0
morning,0,fucking,0
moth,0,sexy,0
lure,0,full,0
lotto,0,fun,0
kisses,0,funny,0
laying,0,games,0
knife,0,gasoline,0
knowing,0,share,0
lady,0,shame,0
last,0,gave,0
late,0,gaye,0
laugh,0,shady,0
laughin,0,serve,0
lay,0,greyhound,0
lean,0,seriously,0
lot,0,separate,0
learning,0,gettin,0
letting,0,sell,0
lied,0,girls,0
lift,0,glad,0
lightin,0,goin,0
live,0,section,0
living,0,gray,0
lookin,0,green,0
zone,0,'90s,0
