word,Handwritten (Deluxe),word,Illuminate (Deluxe),word,Nine Track Mind (Deluxe),word,Shawn Mendes,word,Voicenotes
looks,1,growing,1,scream,1,home,1,brothers,1
headed,1,kissed,1,mean,1,true,1,bye,1
grew,1,kiss,1,one-way,1,honestly,1,promised,1
lose,1,hand,1,masterpiece,1,chill,1,uncomfortable,1
lotto,1,wish,1,pretend,1,hopeless,1,door,1
skin,1,sheets,1,lawn,1,hopes,1,couple,1
regretted,1,happens,1,lately,1,hopin,1,unraveling,1
half,1,happier,1,secrets,1,chest,1,upstairs,1
guy,1,anyway,1,section,1,hurts,1,cheated,1
loved,1,kils,1,lies,1,closer,1,throw,1
holding,1,window,1,party,1,sleep,1,different,1
honestly,1,fill,1,lying,1,race,1,brokenhearted,1
hope,1,loving,1,lungs,1,a.m,1,throwin,1
hurts,1,discovering,1,prove,1,touch,1,driving,1
lured,1,break,1,provoking,1,growing,1,mind,1
lightin,1,upon,1,looks,1,grown,1,drunk,1
sense,1,things,1,running,1,minds,1,proud,1
lights,1,true,1,loving,1,write,1,dumb,1
gently,1,everybody,1,long,1,impressed,1,dying,1
settle,1,everyday,1,lock,1,hair,1,differently,1
shake,1,everyone,1,limousine,1,hand,1,much,1
rest,1,damn,1,limelight,1,hands,1,tight,1
hypnotized,1,us,1,likes,1,wanted,1,mean,1
hurt,1,lips,1,lights,1,six,1,dance,1
shut,1,close,1,lighted,1,sister,1,theirselves,1
hurricane,1,clothes,1,luck,1,reason,1,mother,1
sheets,1,picture,1,paris,1,idea,1,messin,1
somehow,1,two,1,lifeline,1,changing,1,changing,1
getting,1,making,1,power,1,comfortable,1,price,1
someday,1,person,1,perfect,1,singing,1,two,1
shoes,1,thoughts,1,red-eye,1,quit,1,days,1
reel,1,brother,1,modeling,1,walked,1,met,1
shoulder,1,drop,1,remember,1,cold,1,moving,1
lower,1,lying,1,promoting,1,sing,1,matter,1
stakes,1,strings,1,posing,1,headlines,1,put,1
loud,1,street,1,reject,1,winter,1,deleted,1
standards,1,easier,1,side,1,waking,1,play,1
crowd,1,easily,1,ignored,1,cheers,1,deny,1
climb,1,midnight,1,hurting,1,focus,1,crazy,1
trouble,1,breaking,1,molly,1,couch,1,taking,1
clap,1,chest,1,knock,1,play,1,three,1
troubled,1,pull,1,hundred,1,whatever,1,trouble,1
nice,1,testified,1,photographs,1,drunk,1,throwing,1
pretend,1,testify,1,sing,1,sure,1,mistakes,1
truth,1,breathe,1,singing,1,overwhelmed,1,loved,1
pressure,1,tonight,1,money,1,ease,1,together,1
turn,1,used,1,hosting,1,laughin,1,waist,1
twelve,1,cold,1,sipping,1,sunrise,1,lose,1
twice,1,minute,1,posse,1,sunday,1,missing,1
cents,1,spending,1,jet,1,outside,1,enough,1
type,1,minutes,1,kama,1,summer,1,explain,1
caught,1,fault,1,shake,1,opposite,1,permission,1
carry,1,space,1,knee,1,begging,1,complicated,1
came,1,letting,1,pouring,1,drinks,1,walking,1
understand,1,decide,1,kissed,1,playin,1,boyfriend,1
tried,1,speak,1,kiss,1,playing,1,excuses,1
next,1,fan,1,king,1,lately,1,city,1
club,1,deny,1,seen,1,please,1,stressing,1
probably,1,lie,1,respect,1,three,1,nervous,1
crime,1,confession,1,sell,1,dances,1,eyes,1
tie,1,dead,1,repost,1,care,1,competition,1
crash,1,lies,1,set,1,floor,1,complied,1
cozy,1,staring,1,midnight,1,poison,1,stories,1
names,1,meet,1,miles,1,ones,1,stopping,1
cost,1,lonely,1,kept,1,everything,1,faith,1
corner,1,vibe,1,sexy,1,surprised,1,confront,1
cool,1,cares,1,karaoke,1,drink,1,fair,1
pretending,1,play,1,scared,1,wondering,1,times,1
times,1,pretend,1,fun,1,woke,1,traveling,1
prison,1,spoken,1,gasoline,1,rings,1,today,1
touch,1,control,1,cash,1,people,1,plays,0
complete,1,questions,1,coping,1,understand,1,pray,0
flew,1,missing,1,cop,1,ahead,1,replace,0
track,1,calling,1,cool,1,tension,1,repost,0
cold,1,moves,1,considered,1,dear,1,rest,0
bust,1,remains,0,took,1,café,1,plans,0
burning,1,pain,0,touch,1,devastation,1,planned,0
use,1,paint,0,tough,1,air,1,respect,0
anthem,1,prison,0,tower,1,telling,1,pointless,0
place,1,paradise,0,track,1,thinkin,1,paradise,0
awake,1,pointless,0,train,1,pickin,1,reputation,0
outta,1,playing,0,compared,1,resist,1,resist,0
ask,1,repost,0,coming,1,bathroom,1,riding,0
pack,1,relationships,0,tried,1,daybreak,1,overdosed,0
anytime,1,replace,0,climbing,1,day,1,rose,0
paint,1,plays,0,class,1,talking,1,overwhelmed,0
worked,1,rain,0,true,1,thinks,1,rings,0
well,1,pack,0,christ,1,done,1,pack,0
parents,1,price,0,checking,1,door,1,ropes,0
part,1,ooh-ooh-ooh-ooh-ooh,0,changing,1,apartment,1,poison,0
past,1,round,0,champagne,1,dreaming,1,popular,0
years,1,rough,0,caught,1,though,1,rough,0
25,1,opened,0,craving,1,sweet,1,ruin,0
yell,1,pouring,0,tickets,1,exactly,1,ruined,0
yet,1,ropes,0,cruel,1,everybody,1,posing,0
whole,1,opposite,0,dipping,1,one-on-one,1,posse,0
barely,1,posted,0,electrified,1,filled,1,praying,0
possibly,1,possibly,0,easily,1,twice,1,ruler,0
old,1,ordinary,0,drop,1,kiss,1,rivers,0
broken,1,road,0,driving,1,fingers,1,possibly,0
bright,1,pressure,0,drink,1,lookin,1,power,0
breath,1,outside,0,dog,1,notes,1,running,0
waited,1,rivers,0,dm,1,noses,1,river,0
bout,1,river,0,temporary,1,fast,1,rush,0
ocean,1,outta,0,tempting,1,staying,1,pain,0
walking,1,rings,0,diamond,1,favorite,1,posted,0
plays,1,posse,0,throne,1,cut,1,pouring,0
plan,1,riding,0,detonate-detonator,1,anything,1,paint,0
bitter,1,problems,0,thank,1,stay,1,ripping,0
waves,1,rhythm,0,deserve,1,cry,1,sacrifice,0
play,1,pretending,0,thought,1,best,1,playin,0
belong,1,posing,0,darkest,1,ah,1,playing,0
believe,1,respect,0,dance,1,crazy,1,remind,0
bed,1,popular,0,damn,1,says,1,perfectly,0
beating,1,resist,0,daily,1,saw,1,plane,0
cross,1,poison,0,thrill,1,felt,1,ready,0
town,1,pretty,0,casino,1,kicked,1,rainbows,0
lean,1,overwhelmed,0,carry,1,fit,1,raise,0
stories,1,overdosed,0,ends,1,stress,1,rate,0
pulled,1,proud,0,car,1,expect,1,rather,0
die,1,parents,0,wear,1,line,1,reaching,0
feels,1,playin,0,bank,1,runnin,1,people,0
dirty,1,pushed,0,ay,1,knows,1,pulled,0
stomp,1,piece,0,attention,1,knowing,1,race,0
feelin,1,pictures,0,well,1,dad,1,pull,0
mess,1,reason,0,whatever,1,needed,1,realize,0
dream,1,reap,0,whole,1,use,1,provoking,0
dreaming,1,realize,0,winnings,1,flight,1,prove,0
dressed,1,pushing,0,wish,1,listen,1,reap,0
taking,1,put,0,anywhere,1,fact,1,propose,0
miss,1,real,0,anyway,1,knife,1,rain,0
may,1,queen,0,wishlist,1,worth,1,quite,0
dumb,1,ready,0,wonder,1,scrolling,1,plan,0
still,1,reaching,0,answered,1,saying,1,pulls,0
surfacing,1,question,0,wondering,1,would,0,pushing,0
easy,1,questioning,0,along,1,reeling,0,pushed,0
medal,1,pickin,0,worry,1,rhythm,0,push,0
fair,1,rather,0,written,1,used,0,queen,0
thunder,1,quick,0,wrong,1,riding,0,puppet,0
enough,1,quickly,0,acapella,1,reel,0,punched,0
everyone,1,quit,0,ya,1,red-eye,0,permanent,0
everywhere,1,perfectly,0,weak,1,realize,0,photographs,0
race,1,rate,0,water,1,reputation,0,questioning,0
middle,1,photographs,0,behind,1,rest,0,questions,0
eye,1,perfume,0,bought,1,reassure,0,person,0
quickly,1,permanent,0,buy,1,upon,0,quick,0
expecting,1,quite,0,burn,1,upstairs,0,pulling,0
morning,1,raise,0,bucks,1,remains,0,quickly,0
drawn,1,race,0,understand,1,vibe,0,promoting,0
quite,1,permission,0,brokenhearted,1,remind,0,pick,0
defense,1,rainbows,0,bright,1,view,0,promises,0
fix,1,pay,0,usually,1,voice,0,pretty,0
threw,1,patient,0,voice,1,relationships,0,probably,0
three,1,reciprocate,0,boulevard,1,reject,0,regretted,0
d-d-does,1,pulled,0,bottles,1,regret,0,prison,0
propose,1,promised,0,bet,1,replace,0,pile,0
fire,1,reject,0,bone,1,repost,0,pride,0
cut,1,regretted,0,body,1,regretted,0,reject,0
thoughts,1,regrets,0,blues,1,regrets,0,pretending,0
deeper,1,plans,0,blue,1,recklessness,0,pickin,0
moving,1,promoting,0,blinded,1,reap,0,pretend,0
flame,1,paris,0,blame,1,red,0,places,0
stars,1,propose,0,walking,1,respect,0,pressure,0
must,1,planned,0,wall,1,real,0,remains,0
describe,1,reeling,0,wander,1,pulling,0,paris,0
started,1,reel,0,sutra,1,wah,0,prepared,0
