0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"('oh', 0.6690456059218097)","('kid', 0.3791850403627523)","('grow', 0.27512433073733206)","('maybe', 0.23962182687089634)","('ever', 0.21662355760306784)","('alright', 0.20927736810864436)","('got', 0.20230841507512523)","('love', 0.19040792007070612)","('na', 0.13498710279829437)","('yeah', 0.11804037824273296)","('make', 0.09713778048209849)","('falling', 0.08750424008371206)","('baby', 0.08458593875735326)","('two', 0.07847901304074163)","('feel', 0.07785483880791713)","('cause', 0.07511660433628461)","('kinda', 0.068621978413787)","('mine', 0.05502486614746642)","('tonight', 0.04805034169782907)","('town', 0.0343109892068935)"
"('running', 0.49214225757589086)","('name', 0.40536784762383704)","('even', 0.33531010064040206)","('kill', 0.24607112878794543)","('know', 0.21178851638250717)","('everyday', 0.1980588343814207)","('face', 0.19531135294378926)","('stop', 0.18871636357149868)","('smile', 0.1740776764106442)","('searching', 0.14472916688198614)","('punched', 0.14472916688198614)","('hole', 0.14472916688198614)","('remember', 0.141537272678624)","('till', 0.12303556439397272)","('dying', 0.1160517842737628)","('arm', 0.1160517842737628)","('looking', 0.09137523500081715)","('start', 0.08614690109379022)","('gone', 0.08614690109379022)","('hold', 0.0816682378247103)"
"('ah', 0.8781535232362011)","('wah', 0.33462999936856874)","('big', 0.16731499968428437)","('something', 0.13975456873898015)","('happening', 0.13689409065077815)","('oh', 0.13032230048635005)","('air', 0.08871877575067609)","('feel', 0.06212509524051513)","('woah', 0.051722175881342716)","('pulling', 0.04563136355025938)","('grabbing', 0.04563136355025938)","('hand', 0.04291501995271785)","('pushing', 0.04163037702630072)","('control', 0.03879163191100704)","('bone', 0.036589730134841715)","('win', 0.02775358468420048)","('feeling', 0.017619872844834124)","('yell', 0.015210454516753126)","('worked', 0.015210454516753126)","('stomp', 0.015210454516753126)"
"('string', 0.6121585256230612)","('attached', 0.540070632317944)","('girl', 0.2033660843935779)","('want', 0.15740397509693993)","('pa', 0.135017658079486)","('brings', 0.135017658079486)","('get', 0.13500530380122736)","('back', 0.12383975750666647)","('let', 0.10410903619121677)","('forever', 0.09844052750315488)","('moment', 0.09454178902916192)","('better', 0.09454178902916192)","('lost', 0.09110285797578434)","('hmm', 0.09001177205299067)","('eternity', 0.09001177205299067)","('cause', 0.08445497437913603)","('always', 0.07820259297799283)","('work', 0.07651981570288265)","('look', 0.07253378724939087)","('whatever', 0.07217637589878892)"
"('memory', 0.3746011995710159)","('aftertaste', 0.3746011995710159)","('replace', 0.2996809596568127)","('permanent', 0.2996809596568127)","('erase', 0.2734047454964955)","('one', 0.24494904963180258)","('remember', 0.24422643236179054)","('kiss', 0.20984199005475024)","('leave', 0.20124214935689924)","('turn', 0.16387163077903288)","('forgive', 0.14984047982840634)","('pretty', 0.13670237274824776)","('take', 0.13608280535100142)","('gon', 0.12369187894028927)","('forget', 0.10110452326757353)","('told', 0.09769057294471621)","('please', 0.08455246586455761)","('na', 0.08038717486524331)","('threw', 0.07492023991420317)","('smell', 0.07492023991420317)"
"('air', 0.965879935035075)","('trying', 0.08485182288376719)","('suffocating', 0.07679813672725065)","('stringing', 0.07679813672725065)","('spare', 0.07679813672725065)","('harm', 0.07679813672725065)","('hard', 0.07056258881976675)","('time', 0.064792498729459)","('coming', 0.05855307694938793)","('along', 0.05855307694938793)","('breathe', 0.055993039712178255)","('mean', 0.05560211080329352)","('shawn', 0.052548321014198526)","('astrid', 0.038399068363625326)","('would', 0.023520862939922248)","('thought', 0.02166794928022339)","('leave', 0.02062863402372397)","('tie', 0.019199534181812663)","('surfacing', 0.019199534181812663)","('stained', 0.019199534181812663)"
"('need', 0.4385238222133434)","('feeling', 0.30500163164330624)","('wait', 0.27465345635418964)","('guess', 0.27465345635418964)","('crazy', 0.2318367818569329)","('making', 0.23035953437047238)","('shine', 0.2106355016974437)","('think', 0.20706399999697586)","('someone', 0.20599009226564222)","('sun', 0.17906313144111793)","('thought', 0.17828711327739039)","('watch', 0.16889909843342057)","('help', 0.13732672817709482)","('know', 0.12843005710556582)","('really', 0.12200065265732249)","('got', 0.10958588459467056)","('complete', 0.10531775084872184)","('awake', 0.10531775084872184)","('sleeping', 0.09608342451930457)","('shoe', 0.09608342451930457)"
"('much', 0.4336021971995495)","('little', 0.38243612393492854)","('sometimes', 0.38081616053261275)","('would', 0.26770528675444993)","('realize', 0.24973898117950177)","('fog', 0.24973898117950177)","('clear', 0.24973898117950177)","('get', 0.23410887165194)","('soon', 0.22784171095864134)","('afraid', 0.20352597797666425)","('ta', 0.13416403740382943)","('got', 0.10827498589498075)","('okay', 0.10615267524358342)","('wa', 0.08188493184918783)","('knew', 0.07883676312719082)","('know', 0.07613624331106406)","('said', 0.06553858967655546)","('barely', 0.06243474529487544)","('let', 0.05777040944081823)","('use', 0.056960427739660334)"
"('take', 0.32223960147981684)","('wall', 0.31612443316452893)","('bear', 0.2956811013026763)","('pain', 0.2513611593513165)","('shining', 0.1971207342017842)","('seam', 0.1971207342017842)","('darkness', 0.1971207342017842)","('trying', 0.18667923473133236)","('let', 0.18239436183055052)","('noticed', 0.17983706481799494)","('break', 0.1759977697515166)","('wasting', 0.16757410623421098)","('bit', 0.16757410623421098)","('underneath', 0.15806221658226446)","('cause', 0.1541263823692551)","('seen', 0.1502904368504217)","('light', 0.1437194907143859)","('one', 0.14321760065769637)","('little', 0.12074380888284848)","('hard', 0.12074380888284848)"
"('bring', 0.5909759500538959)","('back', 0.4336399809504082)","('sad', 0.1969919833512986)","('burnt', 0.1969919833512986)","('worse', 0.16746465398006644)","('far', 0.157958977088474)","('black', 0.157958977088474)","('used', 0.1501922735514532)","('god', 0.1501922735514532)","('coming', 0.1501922735514532)","('thinking', 0.13291989312283997)","('something', 0.12066494418022101)","('go', 0.10734304277509572)","('thing', 0.10339256375160777)","('thunder', 0.0984959916756493)","('spinning', 0.0984959916756493)","('somehow', 0.0984959916756493)","('possibly', 0.0984959916756493)","('hurricane', 0.0984959916756493)","('beating', 0.0984959916756493)"
